Gene	sgRNA	eff
SMARCD3	SMARCD3_g70	1
SMARCD3	SMARCD3_g71	1
SMARCD3	SMARCD3_g72	1
SMARCE1	SMARCE1_g73	1
SMARCE1	SMARCE1_g74	1
SMARCE1	SMARCE1_g75	1
SMARCE1	SMARCE1_g76	1
SMARCE1	SMARCE1_g77	1
SMARCE1	SMARCE1_g78	1
SET	SET_g1	1
SET	SET_g2	1
SET	SET_g3	1
SET	SET_g4	1
SET	SET_g5	1
SET	SET_g6	1
SETBP1	SETBP1_g7	1
SETBP1	SETBP1_g8	1
SETBP1	SETBP1_g9	1
SETBP1	SETBP1_g10	1
SETBP1	SETBP1_g11	1
SETBP1	SETBP1_g12	1
SETD1A	SETD1A_g13	1
SETD1A	SETD1A_g14	1
SETD1A	SETD1A_g15	1
SETD1A	SETD1A_g16	1
SETD1A	SETD1A_g17	1
SETD1A	SETD1A_g18	1
SETD1B	SETD1B_g19	1
SETD1B	SETD1B_g20	1
SETD1B	SETD1B_g21	1
SETD1B	SETD1B_g22	1
SETD1B	SETD1B_g23	1
SETD1B	SETD1B_g24	1
SETD2	SETD2_g25	1
SETD2	SETD2_g26	1
SETD2	SETD2_g27	1
SETD2	SETD2_g28	1
SETD2	SETD2_g29	1
SETD2	SETD2_g30	1
SETD3	SETD3_g31	1
SETD3	SETD3_g32	1
SETD3	SETD3_g33	1
SETD3	SETD3_g34	1
SETD3	SETD3_g35	1
SETD3	SETD3_g36	1
SETD4	SETD4_g37	1
SETD4	SETD4_g38	1
SETD4	SETD4_g39	1
SETD4	SETD4_g40	1
SETD4	SETD4_g41	1
SETD4	SETD4_g42	1
SETD5	SETD5_g43	1
SETD5	SETD5_g44	1
SETD5	SETD5_g45	1
SETD5	SETD5_g46	1
SETD5	SETD5_g47	1
SETD5	SETD5_g48	1
SETD6	SETD6_g49	1
SETD6	SETD6_g50	1
SETD6	SETD6_g51	1
SETD6	SETD6_g52	1
SETD6	SETD6_g53	1
SETD6	SETD6_g54	1
SETD7	SETD7_g55	1
SETD7	SETD7_g56	1
SETD7	SETD7_g57	1
SETD7	SETD7_g58	1
