sgRNA	Gene	L3_F1	L3_F2	L3_F3	L3_F4
HDAC1_g1	HDAC1	0.9582268957936847	1.204844459040823	0.9383043563192216	0.9233218657839969
HDAC1_g2	HDAC1	0.8379730500877695	0.9429395453374424	0.7210646874143036	0.9704909484684694
HDAC1_g3	HDAC1	1.0162042467915098	1.0002031568547174	0.7441623942031432	0.9526291480896996
HDAC1_g4	HDAC1	1.0148712107757154	1.1137265925108482	0.8363471240028872	0.8972258337760514
HDAC1_g5	HDAC1	0.8697494931099	1.0686435226509021	0.7900794144071452	1.060256642200443
HDAC1_g6	HDAC1	1.093004428416184	1.181104188581887	0.9416438584411775	0.9637944704375456
HDAC10_g7	HDAC10	0.8179898465550318	1.2746839032503492	0.7301980349633286	0.9933172342070797
HDAC10_g8	HDAC10	0.9577703960029555	1.1029861584446847	0.7661988264832363	0.9745952099917412
HDAC10_g9	HDAC10	0.9555283518643244	1.0167453143182104	0.9273626183181047	1.0233133399334522
HDAC10_g10	HDAC10	0.6074556013463561	0.8383122766457585	0.5529011443920574	0.8927994155143486
HDAC10_g11	HDAC10	0.8379361153246999	1.0254203127162367	0.771871579760816	0.8542282350015472
HDAC10_g12	HDAC10	1.1071090457494763	1.0480461417643514	0.9497805585517427	0.8797502279603626
HDAC11_g13	HDAC11	0.9577659779773324	1.0620007462035141	0.7291111885860249	0.7880824159367217
HDAC11_g14	HDAC11	0.8770161266739619	1.3234299188436596	0.8825942836680702	0.9181243952363691
HDAC11_g15	HDAC11	1.1188843880756316	1.7540325493594116	1.0895887219929692	1.135667631405869
HDAC11_g16	HDAC11	0.9607511447037625	1.0078346345573042	0.8126942652035389	0.9139403806174733
HDAC11_g17	HDAC11	0.8692111894831359	0.9759935414153901	0.7820899928938214	0.9101203985440292
HDAC11_g18	HDAC11	0.90035233152585	1.1038953684485242	0.853055299490138	0.7673349803742563
HDAC2_g19	HDAC2	0.9349913872277192	1.004609678280369	0.6723719887327214	0.7340188698039705
HDAC2_g20	HDAC2	0.9375136565737265	1.0566075692955312	0.8754644665514532	1.08685877928026
HDAC2_g21	HDAC2	0.9615144734857642	1.041637886990766	0.8172081751251011	0.8432503800178526
HDAC2_g22	HDAC2	1.135947135823169	1.0900302837533895	0.7621147951816121	0.9302552243728939
HDAC2_g23	HDAC2	0.8303709298149052	1.05157220614057	0.9787688146858934	0.7501155645929164
HDAC2_g24	HDAC2	1.028780068936187	1.0815672150289501	1.1182193689145397	1.0285485730511779
HDAC3_g25	HDAC3	0.8834524816925395	0.9941787812288454	0.7656338819165447	0.7230806427974005
HDAC3_g26	HDAC3	0.8040061181531332	0.8649521495267527	0.5492307500710779	0.773068160600107
HDAC3_g27	HDAC3	0.8876148103999312	1.237579526539904	0.8468832929765603	1.028633079212112
HDAC3_g28	HDAC3	0.8203037204113784	1.3898706235149563	0.917387987490839	1.0194397778941373
HDAC3_g29	HDAC3	1.2693889875466526	1.359401462294215	1.096471581143116	1.070255684578113
HDAC3_g30	HDAC3	0.8672188640988513	1.2523269665293977	0.6377349223107425	0.8398070998356836
HDAC4_g31	HDAC4	1.0399755124136747	0.9933968637772792	0.9932163760253151	1.0867129358524368
HDAC4_g32	HDAC4	0.7436621777030071	0.9037908338025024	0.840052036109679	0.996845544725724
HDAC4_g33	HDAC4	0.9971252299832296	1.1170462512406802	0.7413528788087839	0.9371805720686929
HDAC4_g34	HDAC4	0.9151431243779224	0.9471997389853816	0.595150115219586	0.9093639775383232
HDAC4_g35	HDAC4	1.320932302919225	1.0937626687785744	0.8843154017572414	0.7194681038328231
HDAC4_g36	HDAC4	0.8061778800472729	1.017989402753015	0.8222218248566909	0.93217379010322
HDAC5_g37	HDAC5	0.793446138901395	0.979791324030631	0.6705327839132398	0.9570604467814567
HDAC5_g38	HDAC5	0.9299689815710124	0.987314711494666	0.8435476498359183	1.0240343791130702
HDAC5_g39	HDAC5	0.8091280815246575	1.0749911360942503	0.7417024981544517	0.7653385422058305
HDAC5_g40	HDAC5	1.1649282681178097	1.4309115544543145	1.02659234583162	1.115060058451494
HDAC5_g41	HDAC5	0.8460570768540032	1.1922906140177172	0.897364873651765	1.2272663726450956
HDAC5_g42	HDAC5	1.0652332669484874	1.3790070465690742	0.8246895094658565	1.0843585548415422
HDAC6_g43	HDAC6	0.9207182866994941	1.0525988961780106	0.7739858178785971	0.9404229472490905
HDAC6_g44	HDAC6	0.8121955358846205	1.0110523352734937	0.8891987302899584	0.8943482715982445
HDAC6_g45	HDAC6	1.2903446596904662	1.1818447317278702	1.0791479881777	1.1786566556967388
HDAC6_g46	HDAC6	0.7657442437669822	0.9840838780149817	0.7676500824459475	0.757198933662372
HDAC6_g47	HDAC6	0.9347526699894415	1.0738060466848736	0.8862555201013509	1.1681544770721983
HDAC6_g48	HDAC6	0.8342672360414762	1.0409530993887686	0.7782118986592756	0.9043623513035811
HDAC7_g49	HDAC7	0.7896990850889097	1.044897283470575	0.8875354683552804	0.71337465438731
HDAC7_g50	HDAC7	0.9086900642582436	1.1612859277046692	0.6855235545303274	1.0425779278135476
HDAC7_g51	HDAC7	1.0775824953474846	1.0058241606643845	1.0805891066935043	1.0707775406835591
HDAC7_g52	HDAC7	0.8660392349095795	1.1401899995705775	0.7809207984242036	0.805806623182945
HDAC7_g53	HDAC7	1.0948397570910204	1.2362083396645436	0.8229368085483025	0.8891221138721987
HDAC7_g54	HDAC7	1.0103621522626411	0.997047841025732	0.5694875898120677	0.7814303357628652
HDAC8_g55	HDAC8	0.9901546369507336	1.309763068703942	0.8212098068346673	0.7421493947933179
HDAC8_g56	HDAC8	0.8462638514636222	1.0795740297495293	0.7890493595518031	0.8608083923461336
HDAC8_g57	HDAC8	0.9346540523532533	0.9428525550043594	0.7192827687579113	0.9240195181894523
HDAC8_g58	HDAC8	0.8627447060924777	0.9732033641248242	0.8501588417946495	0.9224314088379363
HDAC8_g59	HDAC8	0.8162544544198975	1.2664503961026938	0.7423424818654494	0.7588400520439064
HDAC8_g60	HDAC8	0.9365907400189962	1.0962582204306672	0.9363511986098636	0.9870807662805883
HDAC9_g61	HDAC9	0.8852105633319186	1.095150784454021	0.7840762707130541	1.0254398726339709
HDAC9_g62	HDAC9	1.0697641866906964	1.0684524595983085	0.8342320513597975	0.9982198591554321
HDAC9_g63	HDAC9	0.953840842786914	1.2983872821648956	0.7148462186478913	1.1488694776897301
HDAC9_g64	HDAC9	0.8521713769080522	0.9964637331961276	0.9278641851663686	0.8387882989881287
HDAC9_g65	HDAC9	1.006960626696541	1.2108034669813703	0.985031171506631	1.2893127986975148
HDAC9_g66	HDAC9	0.8953771183287756	0.8558939400052239	0.8322831815129039	0.936879039178329
SIRT1_g67	SIRT1	0.953878781048235	1.1646392145263915	0.8602043798121484	1.0392097311879311
SIRT1_g68	SIRT1	1.0469301874279358	1.0265714342397112	0.9199824540188883	0.9030792067112084
SIRT1_g69	SIRT1	0.9718845629496359	1.0370646682398066	0.8837573339089857	0.905387899508286
SIRT1_g70	SIRT1	1.0809660905624947	0.9823884847290792	0.9129939498725501	0.9420885872393185
SIRT1_g71	SIRT1	1.015101067166856	1.2021494999071862	0.9368944789118193	1.2084384515274795
SIRT1_g72	SIRT1	0.8858095590967827	1.0150052082377385	0.832273954730987	0.8911274186086847
SIRT2_g73	SIRT2	1.0683476636196174	1.2089761742678167	1.008031321439639	1.4798074923209141
SIRT2_g74	SIRT2	0.9284293141629107	1.027141340409628	0.9308358068696485	0.8004158464650046
SIRT2_g75	SIRT2	0.9086621443446634	1.0909704140318996	0.7954898315642979	0.9234449233174573
SIRT2_g76	SIRT2	0.9485766995578445	0.9758541312168961	0.6626688352452643	0.9953851073351692
SIRT2_g77	SIRT2	0.9128759834813561	1.4809127427864872	1.0601352015671912	1.1275778719227454
SIRT2_g78	SIRT2	0.9587641700928595	1.084595296650934	1.0206201858727741	0.9718206733349753
SIRT3_g79	SIRT3	0.9500188986546536	1.0379894484217354	0.9645701296373889	0.9445273210018098
SIRT3_g80	SIRT3	0.8087726246640667	0.979720758058262	0.6687057481231414	1.1500259733668632
SIRT3_g81	SIRT3	1.4113389827734768	1.4055042393214385	0.8348372508597237	0.9131277213039619
SIRT3_g82	SIRT3	1.0043300784585125	1.2904272364006064	0.5659491879635695	1.0532576712552426
SIRT3_g83	SIRT3	0.6797680443513121	1.305364868465916	0.8610016757829321	0.8753741744073636
SIRT3_g84	SIRT3	1.0485001560265312	1.2447436058185999	1.0837988353970789	0.6732842558330351
SIRT4_g85	SIRT4	0.9991470356635944	1.325052404432042	0.8995949639864385	0.8438751018786214
SIRT4_g86	SIRT4	1.036300702388443	1.090988806339865	0.8618696646574986	0.748913776770502
SIRT4_g87	SIRT4	0.8012106270975574	1.0461639376354304	0.5935102602305088	0.695936159283538
SIRT4_g88	SIRT4	1.0230199317830517	1.2931819440676942	0.9062034230122995	1.0553845689665553
SIRT4_g89	SIRT4	0.9980860188460284	1.3175596391179276	0.8451277185165122	0.842498299578996
SIRT4_g90	SIRT4	1.0064810544381069	1.2090019904846467	0.862510235233176	0.9348160409015305
SIRT5_g91	SIRT5	0.8376945044995779	1.2523884617211711	0.9676292154906673	0.8723430444336611
SIRT5_g92	SIRT5	0.788769510525041	1.0981371981050194	0.8530071774131126	0.8522476532651336
SIRT5_g93	SIRT5	0.8764584877473136	1.0965545515594564	0.7095694048128157	0.8935095715410458
SIRT5_g94	SIRT5	0.8375708718804196	1.0035142343533647	0.941563325487245	0.968702407801512
SIRT5_g95	SIRT5	1.0905716451814491	1.0803973570537717	0.9172350623556589	0.8549849782425715
SIRT5_g96	SIRT5	1.1688758656008633	1.3212871108450839	1.057787448783721	1.038107857577955
SIRT6_g97	SIRT6	1.0101733099379797	1.2433671547651046	0.8160677658459059	0.9653898508114119
SIRT6_g98	SIRT6	0.9563334044401464	0.9201263357556572	0.8195358928892172	0.8152331292123135
SIRT6_g99	SIRT6	1.1913801504750092	1.13825823860592	0.8771862067097015	1.1148672512758213
SIRT6_g100	SIRT6	0.8613604866981519	1.0087978654317409	0.8389983785345247	0.8131599793593076
SIRT6_g101	SIRT6	0.9044177956073377	1.1233184542782817	0.8307629857768963	0.8773528187617144
SIRT6_g102	SIRT6	0.9249869587226347	1.1166849499794915	0.8063789753555555	0.8847391262972066
SIRT7_g103	SIRT7	0.9381142427483748	1.1366307618116105	0.721566368807251	0.8853503942493718
SIRT7_g104	SIRT7	0.8465197005098399	1.1772163849455601	0.9168577863024399	1.004898904127007
SIRT7_g105	SIRT7	0.9175033691295261	1.0830909881989712	0.7681032250761324	0.9230664171953022
SIRT7_g106	SIRT7	1.5011712076383394	1.33395623534474	0.8975044239430402	1.0253310363533172
SIRT7_g107	SIRT7	0.9851316639753908	1.2235678946302788	0.9391548996053192	0.8871888591537945
SIRT7_g108	SIRT7	0.6959252716764548	1.087555910202116	0.8580971433673729	0.9297144870489105
SMARCA1_g1	SMARCA1	0.8547332644452167	1.1614973011450789	0.9382125225501278	0.9985226651529775
SMARCA1_g2	SMARCA1	0.9718602109145466	1.1235338262698331	0.8019993363459972	1.1202001782371411
SMARCA1_g3	SMARCA1	0.7748902439679636	1.0454484238272312	0.7780010818678016	1.0720235124308661
SMARCA1_g4	SMARCA1	0.9343477618344526	1.1004256160500892	0.8992659245139744	1.2634432992482443
SMARCA1_g5	SMARCA1	0.938261267501673	1.1371022397348072	0.7616640757757667	0.8861045855399171
SMARCA1_g6	SMARCA1	0.8647259489780926	1.0335494848925861	0.7372773145347403	1.1615363405411485
SMARCA2_g7	SMARCA2	0.9904874238215043	0.9264619265115265	0.7547189610688447	0.8450480856676588
SMARCA2_g8	SMARCA2	1.1750767321470044	1.2848469100237145	0.8748541233773474	1.0252147571008374
SMARCA2_g9	SMARCA2	1.014889012152029	1.1153359031671457	1.0117579879401228	1.0151999678554544
SMARCA2_g10	SMARCA2	0.7972189988555779	0.9933172178196585	0.7843367160416487	0.9122125065816041
SMARCA2_g11	SMARCA2	1.1549120295451407	1.3866263306831061	1.1425087786222798	1.0328568636158861
SMARCA2_g12	SMARCA2	0.8541642917837038	0.95923208878859	0.7431059706823105	0.8391251112506708
SMARCA4_g13	SMARCA4	0.7337500526234848	0.8766253286629173	0.816718342251109	1.032125822332219
SMARCA4_g14	SMARCA4	1.002872901264855	1.3092470858382375	1.0574052702799686	0.9522343891089562
SMARCA4_g15	SMARCA4	0.8860216907046929	1.037294729179593	0.9178752290207448	0.8404070623694668
SMARCA4_g16	SMARCA4	0.8383798151620288	1.1154634301950712	1.0037074133729704	0.7541138508953631
SMARCA4_g17	SMARCA4	1.2272267327274207	1.580712431317626	1.0892996595762765	1.319046844874634
SMARCA4_g18	SMARCA4	0.7009161400780657	1.2101433370802415	1.0705679863637754	0.7409466392128775
SMARCA5_g19	SMARCA5	0.8615318346494678	1.0467516168475322	0.7125384421084852	0.8760367231234956
SMARCA5_g20	SMARCA5	0.7127209029176936	0.8488451481133586	0.9487500505479244	0.8202299532288759
SMARCA5_g21	SMARCA5	1.0105658184846347	1.3280876716758738	1.06326519893079	1.0552726731208866
SMARCA5_g22	SMARCA5	1.0247970431086064	1.2226502725960775	0.868219671990334	0.8129349307771674
SMARCA5_g23	SMARCA5	0.6909159404348478	0.9711183403933229	0.7065212826861982	0.8811372740206568
SMARCA5_g24	SMARCA5	1.1193392965481093	1.13415821438613	0.438388620893596	0.6785383132775866
SMARCAD1_g25	SMARCAD1	0.7873183610846046	1.0873498796343053	0.8323130065460564	0.9420363532740184
SMARCAD1_g26	SMARCAD1	0.8707023919423047	1.3403797423984272	0.8910902226077476	1.0191902408020244
SMARCAD1_g27	SMARCAD1	0.7780963624985141	0.8656505325965712	0.7929701295173355	0.9480048571413814
SMARCAD1_g28	SMARCAD1	0.5511867247233574	0.9127908549081886	0.8003058700141255	0.716511135540661
SMARCAD1_g29	SMARCAD1	1.0281892343413195	1.152804696849765	0.9948805565465967	0.9732556224501637
SMARCAD1_g30	SMARCAD1	0.797089456930259	1.1016685050388884	0.8657082679681511	0.8391568852029074
SMARCAL1_g31	SMARCAL1	0.903915856934443	1.1214177877194917	0.8264450988112588	1.0116331449426559
SMARCAL1_g32	SMARCAL1	0.6825610720157003	1.1609029629497056	0.7348240903612733	0.941551934296748
SMARCAL1_g33	SMARCAL1	0.9673513540444721	0.8755000632837937	0.7812206100215535	0.9890162553646195
