sgRNA	Gene	L1_F1	L1_F2	L1_F3	L1_F4
HDAC1_g1	HDAC1	0.929080336675296	1.0171609068173144	1.1049671060551136	1.108640156846387
HDAC1_g2	HDAC1	0.8437336688765886	0.834886921644583	1.0413297611843286	0.8405217371648532
HDAC1_g3	HDAC1	0.8156562671023727	0.821983774160511	0.8682294447179987	0.9348415381460996
HDAC1_g4	HDAC1	0.9464866268989225	0.9607607558870311	1.2639086363459942	1.0985683977272551
HDAC1_g5	HDAC1	0.7784744288576546	1.0090840840347206	1.023237398257264	1.0604144706103997
HDAC1_g6	HDAC1	0.9167032424162389	1.1367712422020888	1.113425493271249	1.1374205747804473
HDAC10_g7	HDAC10	0.9017550712371155	0.9430593730348975	1.1914679070804477	1.1312417456126547
HDAC10_g8	HDAC10	0.8871092034882468	0.890880679350736	1.0589912038876306	0.90499165162431
HDAC10_g9	HDAC10	1.041682338912621	0.969480529740282	1.022318161982788	1.01603870678601
HDAC10_g10	HDAC10	0.6685169087968732	0.8197601514972697	0.9239817723697165	0.9675683908156824
HDAC10_g11	HDAC10	0.7859888268792884	1.04229495828591	0.9686715164116769	1.0893867390174408
HDAC10_g12	HDAC10	0.9485299567261632	0.9825259901908274	1.010959138473539	0.9585760974201932
HDAC11_g13	HDAC11	0.7409510691088016	0.917678951150929	0.9937881901182639	1.0635570219508652
HDAC11_g14	HDAC11	0.915282483229234	0.979137276002198	1.11947821444226	1.1291834112939112
HDAC11_g15	HDAC11	1.108182235988228	1.0567171136421687	1.2185631460684023	1.111870531334677
HDAC11_g16	HDAC11	0.7834493296124678	0.9211052819713748	0.93346762839828	1.004426952516054
HDAC11_g17	HDAC11	0.7622659402554881	0.9219655839366654	0.9654634685531269	1.0054856975984958
HDAC11_g18	HDAC11	0.8539611865270021	0.9721817839082283	1.0469417162806751	0.9828316284926955
HDAC2_g19	HDAC2	0.6829490190247821	0.9650924798108594	0.8418688676446215	0.9718146892452268
HDAC2_g20	HDAC2	0.839402042555833	0.8881298395117598	1.005865115752089	1.1693235534856807
HDAC2_g21	HDAC2	0.9144237249572236	0.9359538282933205	0.9943520767928964	1.1561036723975402
HDAC2_g22	HDAC2	0.9683846760204202	1.068781016707289	1.0056409602475462	1.0653247667984778
HDAC2_g23	HDAC2	0.9967718146401717	0.8810056810149788	1.2234831201298282	1.3076877338767492
HDAC2_g24	HDAC2	1.293178775589768	1.1999078977618993	1.1586281801257967	1.4908994356448548
HDAC3_g25	HDAC3	0.7930733959892254	0.9053662292614417	0.9643830259827657	1.0504644571033843
HDAC3_g26	HDAC3	0.7648785819959489	0.7848330998481944	0.8408570547030163	0.9565322246245656
HDAC3_g27	HDAC3	0.9424175577496665	0.9077554073601942	1.0465410838788785	1.184788750930444
HDAC3_g28	HDAC3	0.8165435943361891	0.9958253315278269	1.2221220930951984	1.1774354376538247
HDAC3_g29	HDAC3	1.1423156041850013	1.03539314665171	1.4168282736106863	1.4777079094773915
HDAC3_g30	HDAC3	0.9137834270474771	0.9424013806593144	1.05455187765394	0.9636497248704592
HDAC4_g31	HDAC4	0.9974766324579676	1.0741294751175556	1.0126321188555354	1.0202483996095635
HDAC4_g32	HDAC4	0.9223814409536177	0.9764248221842206	1.1009634924206677	1.020022326336728
HDAC4_g33	HDAC4	0.7917415298718828	0.9500165673131106	1.0013885969446812	0.9435633599250774
HDAC4_g34	HDAC4	0.9037459996675992	0.9288618020407833	1.0319967889040578	1.1377157625161647
HDAC4_g35	HDAC4	0.8528545432030193	0.9762540152106816	1.1601632926012537	1.2738382408081557
HDAC4_g36	HDAC4	0.8821112611180622	1.1009105742880718	0.9146148788278665	0.987231588550238
HDAC5_g37	HDAC5	0.8535941830241693	0.9411287686099208	1.1147519541765338	1.0894813118424025
HDAC5_g38	HDAC5	0.9771825461812056	1.0182685013252168	1.1021727754498238	1.0080511315744218
HDAC5_g39	HDAC5	0.7996834563376667	0.8609716815590877	0.9197577820525608	0.9260873510431223
HDAC5_g40	HDAC5	0.9246099426578732	1.2523341965428838	1.285958621564396	1.1765460518844266
HDAC5_g41	HDAC5	0.8252522293678668	1.0658677682006332	1.093191669377641	1.2037637050058603
HDAC5_g42	HDAC5	1.008022714675158	1.0243109396615848	1.1207791724517466	1.2574147193923346
HDAC6_g43	HDAC6	0.8409600280352328	0.9298407378047691	1.152429206913505	0.9727973053771816
HDAC6_g44	HDAC6	0.8631790631093488	0.9617293140795726	1.0204811292130422	0.9510697752055461
HDAC6_g45	HDAC6	0.9376667584950648	1.1562853771821386	1.3551006814768152	1.2342241923298192
HDAC6_g46	HDAC6	0.8191203421045251	0.941328271589601	1.051860320771333	1.0257480746166736
HDAC6_g47	HDAC6	0.8689859206764743	1.019762217683868	1.0662220117519279	1.214894597640063
HDAC6_g48	HDAC6	0.8484205066236525	0.9173462324963321	1.0182000849239876	1.1155722586020176
HDAC7_g49	HDAC7	0.8664811683916678	0.941980690997045	0.9207605047727111	0.9392818666326258
HDAC7_g50	HDAC7	0.7565328709803478	0.8740073658397588	1.083491900441496	1.0618125009426838
HDAC7_g51	HDAC7	1.01779487947793	1.137216068467601	1.1797244800924784	1.5328559323211695
HDAC7_g52	HDAC7	0.9848068614792648	1.1054816644540675	0.9602701202330861	1.2323830126194482
HDAC7_g53	HDAC7	0.7871061677458457	0.8256864646775381	1.2018658106611442	1.3041066639080925
HDAC7_g54	HDAC7	0.9086527560734815	1.0100315600682779	1.0010812802351674	1.1416989896047993
HDAC8_g55	HDAC8	0.825078174705433	0.9361767761578476	0.9454285093729072	1.1122819547124059
HDAC8_g56	HDAC8	0.8738381183627598	1.0124649452027878	0.9624419832490084	1.1662892730399304
HDAC8_g57	HDAC8	0.8243986544015364	0.8765228310138368	0.9393946364690998	1.1535647350948337
