sgRNA	Gene	L5_F1	L5_F2	L5_F3	L5_F4
HDAC1_g1	HDAC1	0.8980891771972749	1.3846784110322958	1.1916112405150365	1.2839837648882175
HDAC1_g2	HDAC1	0.6624898579470859	0.8571330919485255	0.7523766261791515	1.1920247188690223
HDAC1_g3	HDAC1	1.1234310937690561	1.4072106105877196	1.5632812712559223	1.616400863428612
HDAC1_g4	HDAC1	1.2519775778481204	1.3836965970074533	1.424644933117075	1.416329161308958
HDAC1_g5	HDAC1	1.0611410830797123	1.1097755293412317	1.235597062465433	0.9286785995664072
HDAC1_g6	HDAC1	1.1794468059687107	1.3096750783490876	1.3441956742008148	1.1885207092994237
HDAC10_g7	HDAC10	1.108284790496598	0.9696692251369702	1.3480912788889399	1.4172761959657065
HDAC10_g8	HDAC10	1.136296144581074	1.0394148287613763	1.5947298272660797	1.6183046022542933
HDAC10_g9	HDAC10	1.2785973560074424	1.62065950223496	1.5818338998653816	1.74251229927526
HDAC10_g10	HDAC10	1.1451846028619714	1.3379176995395095	1.6150330837828222	1.6396388167445408
HDAC10_g11	HDAC10	0.9620862565807868	0.903604373991013	1.353996050854153	0.961877355550048
HDAC10_g12	HDAC10	1.3720307871208508	1.5417930650698235	1.6274062719926194	1.3858186296254205
HDAC11_g13	HDAC11	1.079528148176537	1.4675764380984369	1.5557112646526396	1.3651644911401009
HDAC11_g14	HDAC11	0.6935924398306986	0.9438698378686272	0.9644736931328476	1.0084997711826693
HDAC11_g15	HDAC11	1.2571273875589903	1.4887775395466303	1.5713242329196622	2.091467413221329
HDAC11_g16	HDAC11	1.1224280264934923	1.4530433274506376	1.3828364012078675	1.3574797840734039
HDAC11_g17	HDAC11	1.2426524364418532	1.6962631181247094	1.519674558826213	1.5456085646115827
HDAC11_g18	HDAC11	1.0797219725115472	1.1924083206773002	1.213950531079402	1.367407565639376
HDAC2_g19	HDAC2	0.3699611419201957	0.6127905333721615	0.6886641265397979	0.6486616084434779
HDAC2_g20	HDAC2	0.768310297534492	0.7942388171630359	0.8700786709865699	0.9517219012582202
HDAC2_g21	HDAC2	1.2485516334850564	1.3790931134697597	1.551650743756052	1.3968507971503024
HDAC2_g22	HDAC2	1.0348992421938603	1.1639205302579891	1.0883749571261656	1.5276810468337771
HDAC2_g23	HDAC2	1.0876566277344664	1.2061699172952047	1.2611772573904567	1.3509668178074699
HDAC2_g24	HDAC2	1.1549100337684306	1.421677167985873	1.1799909137424898	1.5750814954900074
HDAC3_g25	HDAC3	0.845270568280949	0.9466692382467279	1.1185793388879177	1.08391100498111
HDAC3_g26	HDAC3	1.0337246089890506	1.1954035525671	1.1454603567956008	1.4355555957592434
HDAC3_g27	HDAC3	0.9086112695097189	1.058293207532962	1.1550723313707199	1.0174979470764338
HDAC3_g28	HDAC3	1.1119040947489036	1.3792582905687458	1.3034642596473631	1.3672667897143018
HDAC3_g29	HDAC3	0.56331712122373	0.43991223475125124	0.5419814765459812	0.6748974214899314
HDAC3_g30	HDAC3	0.9289464208880717	0.9571827517342363	0.8994432550738445	1.1058152713938862
HDAC4_g31	HDAC4	1.1921498972890272	1.424144502804424	1.5665964552964575	1.3507035520894992
HDAC4_g32	HDAC4	1.1847923950651926	1.27284125474606	1.351425060656062	1.8582841845227196
HDAC4_g33	HDAC4	1.1612663971572437	1.40888704064917	1.5998872413661342	1.1717824007506321
HDAC4_g34	HDAC4	0.9465288761236867	1.047347156054727	0.979172951808771	0.8131259270776483
HDAC4_g35	HDAC4	1.0480262134437315	1.3230028937173464	1.081580757202203	1.108530173226822
HDAC4_g36	HDAC4	0.8770601298351085	0.9706614926734145	1.0087604693450123	1.1575607823176544
HDAC5_g37	HDAC5	1.3025578091798722	1.4152714413255294	1.402930706042145	1.5626265003144473
HDAC5_g38	HDAC5	1.1536295878323866	1.2306956858266995	1.4592821392613222	1.3954787649396474
HDAC5_g39	HDAC5	1.150785913550006	1.2694456930681046	1.3068870382167834	1.4632102200878079
HDAC5_g40	HDAC5	0.5659052986943209	0.6770122087462551	0.6576172950990223	0.6248044433327841
HDAC5_g41	HDAC5	1.5120289081789107	1.180902970545034	1.258637297037236	0.96216657847873
HDAC5_g42	HDAC5	1.023608549304986	1.198019873641836	1.2214414841163657	0.9543247149468994
HDAC6_g43	HDAC6	0.7826145745950571	0.9311115872441535	0.883206045082909	1.0526121446251575
HDAC6_g44	HDAC6	1.4261588114507966	1.726053446986948	1.6790751781118618	1.6163199060790217
HDAC6_g45	HDAC6	0.9946132951289837	0.8663472468407561	1.1361038584980332	1.2541426563071127
HDAC6_g46	HDAC6	1.0031484078101731	1.0469049015438912	1.2958088076011556	1.2274347020705783
HDAC6_g47	HDAC6	1.067630886501798	0.9087120988286006	1.2905950724080923	1.2289866679218766
HDAC6_g48	HDAC6	1.1811512106582414	1.4881203526109175	1.3786045057171816	1.4785427112364888
HDAC7_g49	HDAC7	1.1539257404964638	1.631446786355199	1.6492526959604563	1.654668793239621
HDAC7_g50	HDAC7	1.0810646742877268	1.0954493288872023	1.1923735075903243	1.171942915326771
HDAC7_g51	HDAC7	0.8277151531189058	0.9332221512709983	0.9339004071915231	0.7744311899329712
HDAC7_g52	HDAC7	0.8383060926342611	1.3916573371313283	1.3948899411892366	1.1294627202730638
HDAC7_g53	HDAC7	1.2265382358844215	1.3814048207472724	2.039498425246609	1.7624126867472782
HDAC7_g54	HDAC7	0.906608141741918	0.9539371001230685	0.9917543875419731	0.8048029041703478
HDAC8_g55	HDAC8	0.753364037356102	0.9083643081752474	0.8138382787267988	1.065952705420162
HDAC8_g56	HDAC8	1.034639192410979	1.496564379654885	1.442059044722455	1.543275653891309
HDAC8_g57	HDAC8	1.0174314683859842	1.1235406206274092	1.0349968614202636	1.1476811324348077
HDAC8_g58	HDAC8	1.4049306029567183	1.680501401531902	1.6064232350916363	1.8656802209904655
HDAC8_g59	HDAC8	0.49442424255216716	0.49657710583769654	0.5237746192441332	0.7631934603608731
HDAC8_g60	HDAC8	1.1571320767108424	1.5565130837824677	1.565993767356126	1.5661832145805674
HDAC9_g61	HDAC9	0.6805447540681523	0.6446832701180008	0.6963695669395952	0.5672816968440699
HDAC9_g62	HDAC9	1.246472704738682	1.4243481936066265	1.5348553488031655	1.6333528628864664
HDAC9_g63	HDAC9	0.8907673315601674	0.8208890971751848	0.9164074042066869	0.6682652394101044
HDAC9_g64	HDAC9	1.2253047426389911	1.4904784421262354	1.5153070195125788	1.352421029552268
HDAC9_g65	HDAC9	1.280272254966471	1.4698961027740518	1.4940152498709378	1.5026899659259392
HDAC9_g66	HDAC9	1.3095418230195532	1.4734181728668054	1.7624176245662988	1.6831000191801468
SIRT1_g67	SIRT1	1.1361908564566654	1.3182994403009178	1.1912718373427527	1.062872817884658
SIRT1_g68	SIRT1	1.0709208761497346	1.4307050912780246	1.2851798800312209	1.5593235306668511
SIRT1_g69	SIRT1	1.333331684875642	1.5017414244820213	1.4822841615376676	1.4005050850982894
SIRT1_g70	SIRT1	0.8963151451700084	1.225343924107052	1.1589172846003568	1.2485495512206084
SIRT1_g71	SIRT1	1.3975931116637847	1.2919328337740212	1.2120580305141648	1.4929309326358176
SIRT1_g72	SIRT1	1.2146747948699688	1.5181438121437103	1.7061727393964619	1.325784720158784
SIRT2_g73	SIRT2	1.2580814485343546	1.623942848308652	1.3470744956412313	1.2688268131900886
SIRT2_g74	SIRT2	0.9089048882905614	1.0176277288492073	1.0745730061921153	1.03143327807707
SIRT2_g75	SIRT2	1.3627086976875393	1.6504682461209421	1.685165871563619	1.3256399665567704
SIRT2_g76	SIRT2	0.639474095011358	0.9358664048089697	0.7770333639938253	0.909926908931596
SIRT2_g77	SIRT2	0.643853471064896	0.5269625318058506	0.7534426271781738	0.6730960075630407
SIRT2_g78	SIRT2	1.1544287194020726	1.281844196043559	1.3681378055246516	1.3754037920696596
SIRT3_g79	SIRT3	1.0842221665321907	1.1972447994128341	1.3286000075949933	0.7926917838190689
SIRT3_g80	SIRT3	0.9819840180085203	0.9918010344985351	1.2035769245166774	1.1236321730696965
SIRT3_g81	SIRT3	0.9202776465592781	0.8654886031944513	0.6888962638532354	0.9063724288570914
SIRT3_g82	SIRT3	0.448379827982469	0.6505069072599445	0.6903719299797119	0.94444006762259
SIRT3_g83	SIRT3	0.814955702005155	0.8890994557057942	1.0763417754279718	0.7848930409571889
SIRT3_g84	SIRT3	0.8725739522425097	0.9263062887985483	0.9155627052081581	0.558725265679242
SIRT4_g85	SIRT4	0.8966638554504747	1.1243847446578408	1.2513438969050474	1.6901495593624765
SIRT4_g86	SIRT4	1.0454920577621123	1.3141588426828001	1.156461693666457	1.2348183196681124
SIRT4_g87	SIRT4	0.7443681106102549	0.950312670142735	0.9318131403460345	1.4042988727700407
SIRT4_g88	SIRT4	1.261435718591198	1.403094381741927	1.4709587686563304	1.5450125716255934
SIRT4_g89	SIRT4	0.9577335958853898	1.275166567942272	1.495796452949646	1.708871410869622
SIRT4_g90	SIRT4	1.1883673813494233	1.3883680841406194	1.6802339134526476	1.4043850828842108
SIRT5_g91	SIRT5	1.1928437504273879	1.333104024319084	1.695946938378943	1.332618954280043
SIRT5_g92	SIRT5	1.1769658778564769	1.1936178144660965	1.7172803790938924	1.4770999823592732
SIRT5_g93	SIRT5	1.1800777946688183	1.2586123609406183	1.512010366756788	1.5191275029416786
SIRT5_g94	SIRT5	1.2786815775107878	1.2986363073453766	1.5994217214314213	1.883702862028874
SIRT5_g95	SIRT5	1.179940298586476	1.523459790209637	1.4376528910209838	1.824651351290956
SIRT5_g96	SIRT5	0.4851662824521832	0.596502231400689	0.4820470496570119	0.6687503985133721
SIRT6_g97	SIRT6	1.3633155355790127	1.3405522894540118	1.5027845483598552	1.3433297736499377
SIRT6_g98	SIRT6	1.30033301070766	1.099562662090382	1.668969830476874	1.5869013743754918
SIRT6_g99	SIRT6	1.215049328695631	1.3334595013016957	1.2708475324506903	1.4459145931881932
SIRT6_g100	SIRT6	0.9992133641316012	1.1482331392922112	1.390507537799081	1.5428257349724241
SIRT6_g101	SIRT6	1.0119949353039206	1.3460470248487786	1.2016896260061225	1.2329923011081725
SIRT6_g102	SIRT6	1.1103181124091477	1.2983660000401291	1.2900655384253552	1.790716925504545
SIRT7_g103	SIRT7	1.1504268776945243	1.5190275858643063	1.5055848850703244	1.434115150021425
SIRT7_g104	SIRT7	1.0965740620572684	1.4844596104847096	1.3579893615488996	1.3911745007147316
SIRT7_g105	SIRT7	0.8471782453449408	0.8469300304525744	0.9783023963867084	1.0414137215099433
SIRT7_g106	SIRT7	1.2418801203505265	1.5276856101058813	2.078795778827093	1.1501799930091736
SIRT7_g107	SIRT7	1.0030885304110253	1.316030461230849	1.3281508926962087	1.6154677021757857
SIRT7_g108	SIRT7	1.6166982978144722	1.4404413717350104	1.5094139886964528	1.4217364720802603
SMARCA1_g1	SMARCA1	1.2111946721325013	1.3231792304403596	1.5032106541837453	1.5895904400383138
SMARCA1_g2	SMARCA1	1.177499051967803	1.2666751867584418	1.3884120943743443	1.6154722249540667
SMARCA1_g3	SMARCA1	0.8538431346294528	1.3136551361021889	1.276473852915155	1.3780253968021068
SMARCA1_g4	SMARCA1	0.8943400250098115	0.7874924567458855	1.041524729542613	1.3477919466089499
SMARCA1_g5	SMARCA1	0.3913944098349794	0.4079806994269938	0.6160828811897423	0.5068090819635497
SMARCA1_g6	SMARCA1	0.6554035805330787	0.7508002311723956	0.7397892367707578	0.8530001305902958
SMARCA2_g7	SMARCA2	0.8228862047836019	0.6952674560178723	0.9884001148329002	0.9748552831398417
SMARCA2_g8	SMARCA2	0.6069346460237126	0.742148684978835	0.6171032988888088	0.7637453768173713
SMARCA2_g9	SMARCA2	0.9157499072958148	1.012094827299556	1.1498440721378078	1.1772314539500437
SMARCA2_g10	SMARCA2	0.7901219554607437	0.7158021595587561	1.1924265921812693	0.6811957023308659
SMARCA2_g11	SMARCA2	1.040483292281999	1.0756612463332382	1.3419649078609834	1.2316034105973797
SMARCA2_g12	SMARCA2	0.9995067172044496	1.021757111353634	1.0487490160869477	1.0852219126920646
SMARCA4_g13	SMARCA4	1.0607989774977469	1.5265755156551561	1.3853064418742167	1.4824194752885298
